Q1[1  I receive training to do my job ef,Q1[2  There is someone at work who encou,Q1[3  I have been mentored at work],Q1[4  I have received fair consideration,Q1[5  I am aware of the City's education,Q1[6  The City's programs related to pro,Q1[7  Overall  I am satisfied with the p,Q2[1  City Manager's Office],Q2[2  Strategic Management and Diversity,Q2[3  Human Resources],Q2[4  Information Technology],Q2[5  Risk Management/Worker's Compensat,Q3[1  The wellness program],Q3[2  City mediation services],Q3[3  The Safe Haven process],Q3[4  Tempe Employee View/Internal Audit,Q3[5  The Director/Chief and Deputy Dire,Q3[6  My physical work environment (buil,Q3[7  The City supports those with a dis,Q3[8  Overall  I am satisfied with the s,Q4[1  My immediate supervisor treats me,Q4[2  I know what is expected of me at w,Q4[3  I have the materials and equipment,Q4[4  I am comfortable expressing my opi,Q4[5  I believe my opinions matter at wo,Q4[6  My work is appreciated by my immed,Q4[7  My immediate supervisor gives me c,Q4[8  My immediate supervisor makes good,Q4[9  I receive constructive feedback on,Q4[10  The work I perform is evaluated f,Q4[11  My immediate supervisor knows my,Q4[12  My immediate supervisor supports,Q4[13  Within the last 30 days I have re,Q4[14  When I request training  my super,Q4[15  The Director/Chief and Deputy Dir,Q4[16  I believe the Director/Chief and,Q4[17  As a supervisor  I am supported w,Q4[18  Conflict in my work area is resol,Q4[19  I believe assignments in my depar,Q4[20  I believe exceptional job perform,Q4[21  I believe poor job performance is,Q4[22  As a supervisor  I have been give,Q4[23  I feel safe and comfortable in my,Q4[24  I am able to discuss physical and,Q4[25  My immediate supervisor has the t,Q4[26  Overall  I am satisfied with the,Q5[1  The City's health care plan meets,Q5[2  The amount that I pay for health c,Q5[3  The City does a good job of inform,Q5[4  The amount of leave that I receive,Q5[5  The amount I am paid is fair for t,Q5[6  I am satisfied with the City's def,Q5[7  Overall  I am reasonably compensat,Q6[1  I receive information that affects,Q6[2  I can express my opinions about wo,Q6[3  Generally  communication between w,Q6[4  Generally  communication between m,Q6[5  With respect to my job  communicat,Q6[6  I have adequate input on decisions,Q6[7  The Director/Chief and Deputy Dire,Q6[8  I am encouraged to be innovative a,Q6[9  Employees in my department are hig,Q6[10  Employees in my department take p,Q6[11  Overall  I am satisfied with the,Q6[12  I am aware of the City values (Pe,Q6[13  I feel the City practices these v,Q7[1  My co-workers treat me with respec,Q7[2  Conflict between co-workers is res,Q7[3  Overall  I am very satisfied with,Q8  Are you aware of the Council priorit,Q9  Are you proud to work for the City o,Q10  Overall  how satisfied are you with,Q11  How has the quality of the environm,Q12  Would you recommend the City of Tem,Q13  Does the City's working environment,Q14  I would like to finish my public se,Q15  I have applied for a new position w,Q16  What gender do you identify with?,Q18  In which department do you work?
4,9,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,1,2,2,2,2,2,2,2,3,3,2,4,3,3,9,2,1,1,1,9,3.0,3,1,2,4,3,4,2,1,4,1,2,2,2,2,2,3,2,3,1,1,1,4,3,4,3,3,1,1,4,3,1,2,1,1,1,10
5,2,3,4,5,3,4,4,4,4,4,4,4,2,4,4,4,5,5,4,4,4,5,4,3,4,4,4,3,3,2,3,2,4,4,4,9,1,3,3,1,9,4.0,1,1,3,5,5,5,5,5,5,4,4,5,3,2,2,3,4,3,3,4,3,4,4,4,2,4,1,1,2,2,1,2,1,1,1,7
4,2,3,4,5,4,3,4,4,3,5,4,4,4,3,3,9,4,5,5,4,4,4,4,5,4,3,4,3,3,3,3,2,4,4,3,4,4,4,4,4,4,4.0,4,3,4,4,1,3,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,2,1,1,2,1,1,1,2,1,9
4,3,3,3,4,4,3,9,9,4,5,9,4,9,9,9,9,4,9,4,4,3,4,4,3,3,4,4,3,4,2,2,2,4,4,9,9,9,4,2,9,9,5.0,3,4,4,3,4,4,4,2,9,3,4,4,3,3,4,3,3,3,3,4,4,3,3,5,9,5,2,1,2,3,1,2,1,1,1,2
4,4,4,4,4,2,4,2,1,2,1,2,3,9,1,2,3,4,4,3,4,3,2,4,4,4,3,3,4,4,4,4,4,3,3,3,2,2,1,4,4,2,3.0,3,3,3,2,2,4,4,4,4,4,4,4,4,3,3,3,3,4,2,2,3,4,3,4,4,4,1,9,3,4,9,1,9,2,1,10
4,4,4,3,2,3,3,9,3,1,3,3,9,9,9,9,9,9,9,9,4,3,4,4,4,4,3,3,4,4,4,4,2,4,9,2,9,2,9,9,2,9,9.0,9,3,3,9,9,9,2,1,9,1,4,9,5,2,9,4,9,4,1,4,3,4,1,4,4,4,1,9,3,3,2,2,2,1,1,10
3,4,4,4,3,3,3,5,3,5,5,3,4,9,9,9,4,4,4,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,9,3,4,3,4,9,4.0,4,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,9,4,4,4,1,1,2,4,1,1,1,2,1,6
2,2,2,1,4,3,2,2,2,2,3,4,4,2,2,2,2,1,4,2,3,4,2,1,1,2,2,2,2,2,4,1,2,2,2,4,2,2,2,1,2,2,2.0,2,2,1,4,4,4,3,1,3,3,2,1,2,2,2,2,1,1,1,1,1,4,3,3,2,3,1,9,3,5,2,2,2,1,1,10
3,2,2,1,2,3,3,2,3,2,3,9,1,9,9,9,3,5,5,4,3,4,4,4,2,4,3,3,4,4,3,5,5,4,3,4,9,1,1,1,1,9,4.0,5,9,3,3,3,4,4,3,4,4,1,3,1,3,3,1,1,2,1,1,1,5,4,5,1,4,2,1,2,1,1,1,1,2,2,9
4,3,3,4,3,2,3,3,3,3,4,3,4,3,3,3,4,4,3,3,4,4,3,4,3,5,4,4,4,4,4,4,4,4,3,3,9,4,4,4,4,9,4.0,4,3,4,4,3,4,3,3,2,3,4,4,4,1,1,3,3,3,3,4,4,3,2,4,4,3,9,9,9,9,9,9,9,9,1,10
4,4,2,3,4,1,2,9,9,9,9,9,2,9,9,9,2,2,9,2,3,4,4,3,3,3,4,3,2,3,3,3,2,4,3,3,4,2,2,2,2,3,3.0,3,2,2,5,4,4,4,4,4,4,3,3,2,3,3,2,3,2,3,2,3,3,3,4,3,3,2,9,2,3,9,2,9,2,1,9
3,4,1,4,5,4,3,1,3,1,4,3,3,9,9,3,1,1,9,2,3,3,3,3,2,3,3,4,3,3,3,4,3,4,1,2,9,2,1,1,2,9,2.0,1,1,2,4,4,3,4,2,2,2,2,1,4,4,3,3,3,3,2,2,1,3,2,4,3,4,1,9,3,4,9,9,9,1,4,10
2,3,4,4,4,1,2,3,3,4,3,2,1,3,3,3,2,2,3,3,5,5,2,4,2,4,3,3,3,5,5,5,1,4,1,3,3,3,3,2,1,3,1.6,3,1,3,5,4,5,5,4,4,4,2,1,1,1,1,2,1,2,1,3,2,3,3,5,4,4,2,9,2,2,9,2,9,1,2,9
2,1,1,1,4,5,5,1,1,1,5,5,5,1,1,9,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1.0,1,1,1,5,9,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,4,1,1,4,5,1,2,1,1,1,10
2,1,1,1,4,4,3,1,2,2,2,2,2,1,1,3,1,4,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,9,1,1,1,1,9,1.0,9,1,1,4,4,4,4,4,4,4,1,4,3,3,2,1,3,1,1,4,3,4,1,5,3,5,1,2,3,5,2,2,1,2,4,99
3,4,3,3,4,3,4,9,9,3,3,4,4,9,3,9,9,2,9,4,4,5,3,4,5,4,4,4,4,4,4,3,4,5,4,3,4,3,4,4,3,4,5.0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,4,3,4,4,4,1,1,1,1,1,1,1,2,1,10
4,1,1,1,4,3,1,2,2,1,4,3,4,2,1,3,1,3,3,2,1,3,2,1,1,1,1,2,1,1,2,1,1,3,1,3,9,1,1,1,2,9,2.0,1,1,1,5,5,5,4,4,4,4,1,1,1,3,2,1,1,2,1,2,1,4,1,3,2,3,2,2,4,5,2,2,9,1,1,10
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,9,4,5,5,5,9,4.0,5,5,5,9,9,5,5,5,5,5,5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,2,2,8
5,3,4,4,4,2,2,9,9,9,4,4,2,9,9,9,9,5,9,9,4,4,5,4,4,4,4,4,3,4,2,3,4,5,3,9,9,3,3,4,2,4,5.0,4,9,4,4,5,5,5,5,4,5,4,3,4,4,4,4,3,4,2,2,3,4,4,4,3,4,1,1,1,2,1,2,1,1,1,10
4,5,4,5,5,4,4,4,4,3,1,3,5,5,4,5,4,5,9,4,5,5,5,5,4,5,4,2,4,4,5,5,5,5,5,5,9,4,2,2,4,9,3.2,4,4,4,5,5,5,4,5,5,5,2,4,4,2,2,4,4,4,4,5,5,5,3,4,4,4,1,1,2,1,1,1,9,1,2,11
1,2,3,1,4,2,3,4,4,4,2,4,3,3,3,3,4,4,9,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,3,1,1,2,2,1,2,3.0,4,4,3,3,3,4,3,1,4,1,3,3,4,4,4,4,2,3,1,1,1,4,2,2,1,1,2,9,4,5,2,2,2,1,1,9
5,5,5,5,5,4,5,3,3,4,4,2,3,3,3,3,3,5,3,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,3,9,5,5,5,5,9,5.0,5,5,4,5,5,5,5,4,5,4,5,3,3,3,3,4,3,3,4,4,3,4,3,5,5,5,2,1,2,2,1,1,1,2,4,9
2,3,3,3,4,2,2,3,9,3,2,3,1,9,9,1,1,1,1,3,5,4,3,3,3,4,4,4,2,3,4,4,9,4,1,2,9,3,4,1,1,9,4.0,3,3,4,4,3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,3,3,2,2,4,4,4,2,2,9,4,9,2,9,1,1,4
4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,3.2,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,1,1,1,1,1,1,1,2,2,4
3,2,2,9,4,3,2,9,5,3,4,3,4,4,5,3,2,4,1,3,3,2,3,2,2,2,2,2,2,9,1,9,3,3,2,1,3,2,3,2,2,9,1.6,1,1,1,4,4,4,4,4,2,3,2,2,2,3,2,2,1,2,1,2,3,4,1,4,2,3,1,9,4,5,9,2,9,9,2,5
4,9,9,9,4,9,9,9,9,4,4,9,9,9,9,9,9,4,9,9,5,5,4,5,4,5,4,5,5,4,9,4,4,4,4,9,9,9,9,9,9,9,3.2,4,4,4,9,9,4,9,9,9,9,4,9,9,9,9,4,9,4,9,9,9,4,4,4,9,4,2,1,2,9,1,1,1,1,2,7
5,5,5,9,4,4,5,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,4,4,4,4,5,9,4,4,4,4,9,4.0,4,5,5,4,2,4,4,1,4,2,4,4,4,5,4,4,9,4,5,4,4,4,4,5,5,5,2,1,1,3,1,1,1,2,2,6
4,1,1,1,5,2,2,9,1,2,5,9,2,9,2,9,2,2,2,3,5,4,4,4,2,5,4,2,4,4,2,1,4,5,2,3,9,9,1,2,9,4,4.0,5,5,3,2,1,4,2,1,1,1,4,2,9,9,4,2,2,2,9,9,2,5,1,9,9,9,9,9,9,9,9,9,9,9,9,99
2,2,4,2,4,3,4,3,4,2,3,3,4,3,3,3,2,4,4,4,1,2,4,2,1,1,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,1,9.0,1,1,1,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,2,2,4,3,2,3,3,1,1,3,4,2,2,1,1,1,10
2,4,4,3,4,4,3,3,3,4,5,3,4,9,9,2,1,4,9,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,9,1,2,1,1,9,5.0,5,5,1,5,5,5,4,3,4,4,5,2,2,1,1,5,2,5,2,2,2,4,2,4,1,4,1,1,2,2,1,2,9,2,1,4
4,5,5,5,5,2,2,4,2,5,5,5,5,5,5,9,1,4,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,1,1,9,2,4,3,5,9,4.0,5,5,4,5,5,5,5,5,5,5,5,1,2,4,2,1,1,5,2,1,1,5,2,5,5,5,1,1,2,2,1,1,1,1,2,5
4,4,3,4,2,3,3,4,4,4,4,3,5,3,4,3,4,3,4,4,5,5,2,4,4,4,4,4,2,3,4,4,2,4,4,4,3,4,4,3,2,9,4.0,4,4,4,4,5,5,4,2,9,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,2,3,1,1,1,1,2,3
3,4,4,4,4,9,4,3,3,3,3,3,4,9,9,9,3,3,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3,3,3,3,3,3,2,4,3.2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,1,1,2,3,1,1,1,1,2,9
2,4,4,4,3,3,3,5,4,4,4,4,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,3,4,4,2,4,3,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,1,9,2,1,6
3,3,2,3,4,2,3,3,2,3,3,9,9,9,9,9,3,4,4,3,3,3,4,2,2,3,2,3,3,3,3,3,3,3,3,3,9,2,1,3,2,9,2.4000000000000004,2,1,3,9,9,9,1,4,9,9,4,2,2,2,3,3,3,3,4,3,3,4,3,3,2,3,1,1,2,9,1,2,1,2,2,3
5,5,5,5,5,5,5,4,4,5,3,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5.0,5,5,5,4,3,4,4,3,4,4,2,4,2,4,3,5,4,4,4,3,5,5,5,4,3,4,1,1,1,1,1,1,1,1,1,9
1,2,2,1,3,1,1,3,1,4,4,3,5,5,3,3,4,4,3,2,4,1,4,1,2,2,1,1,1,3,1,1,1,3,1,3,9,3,3,1,1,9,1.0,1,1,1,4,2,5,5,5,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
5,4,3,3,4,3,4,3,3,2,4,4,4,3,9,9,3,5,5,4,5,5,5,5,4,4,5,5,5,4,4,5,4,5,4,3,9,9,3,2,1,9,5.0,5,4,5,4,3,4,4,1,4,1,5,3,3,3,3,5,9,4,5,2,3,4,2,4,4,5,2,1,2,1,1,1,1,2,1,10
3,5,5,5,2,3,3,4,4,4,4,9,4,4,4,4,3,4,4,4,5,5,3,5,4,5,5,5,5,3,5,5,5,5,3,2,9,1,1,4,1,4,4.0,5,2,5,2,2,4,2,4,4,4,4,4,4,4,2,4,3,4,1,1,1,4,3,2,2,2,1,1,1,3,1,9,1,1,2,3
4,4,4,9,4,3,4,4,4,4,5,9,5,9,9,9,5,5,9,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,4,5,9,3,3,4,3,9,4.0,5,3,4,5,5,5,4,4,9,4,5,4,5,4,5,3,4,4,5,5,5,5,5,4,3,4,1,1,2,3,1,1,9,2,2,9
5,3,9,9,3,9,3,3,3,9,3,1,2,3,3,3,9,4,4,4,3,5,5,3,2,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,5.0,3,3,3,5,2,4,5,5,5,5,4,4,3,3,4,3,2,4,3,3,3,4,4,3,2,3,2,1,1,1,1,1,1,2,1,10
3,2,1,1,4,2,2,4,4,3,4,2,3,2,2,2,1,3,3,2,3,4,3,2,1,3,3,3,2,3,2,2,1,4,1,2,9,1,1,1,1,9,0.8,1,1,1,4,4,3,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,5,9,2,1,2,2,4
2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,4,4,4,3,3,2,2,2,3,3,3,9,1,1,9,9,9,1.0,2,2,2,1,2,2,3,1,3,1,3,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,1,2,3,5,2,2,9,1,4,8
3,3,2,4,9,3,3,9,9,4,3,4,4,9,9,9,3,4,9,3,4,5,4,4,1,4,4,4,4,4,4,4,2,4,3,3,9,3,2,2,1,9,3.2,4,4,4,4,4,4,4,2,4,3,1,3,3,3,3,4,2,4,3,2,2,4,4,3,3,3,1,1,2,2,1,2,1,1,2,9
9,4,4,3,4,2,2,9,9,2,3,9,9,9,9,1,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,9,4,4,4,4,9,2,2,2,2,9,4.0,4,4,2,9,9,9,9,9,9,9,4,4,2,2,2,4,4,4,2,1,1,5,2,2,2,1,1,1,3,2,2,2,2,2,9,99
2,2,1,9,2,2,2,3,3,3,2,3,4,9,9,9,2,4,5,3,4,1,4,2,1,3,1,3,3,3,2,3,4,4,4,5,9,2,1,1,1,4,4.0,4,1,2,4,5,5,5,4,5,5,4,2,2,4,4,2,2,1,1,3,2,5,4,5,1,3,1,1,3,4,9,1,2,2,2,8
2,2,2,2,3,2,2,2,2,3,3,3,4,9,2,9,3,3,4,3,4,3,3,2,3,4,2,2,3,9,1,3,3,4,4,3,4,3,3,4,4,3,3.2,9,3,3,4,4,4,4,3,2,4,3,4,4,4,4,2,3,4,4,4,4,4,3,5,4,5,1,1,3,4,1,1,9,2,2,5
5,5,5,5,5,5,5,9,9,4,5,4,4,9,9,9,5,3,5,5,5,5,5,5,4,4,3,2,5,5,5,5,5,5,5,5,9,4,4,4,2,9,4.0,5,4,3,4,4,5,4,5,4,5,4,5,2,2,2,3,5,5,3,2,3,5,3,4,4,4,1,1,2,4,1,1,1,1,2,10
5,4,2,4,4,2,4,3,4,4,4,2,2,3,4,4,2,3,4,3,4,4,2,4,2,4,3,4,4,4,4,4,4,4,4,4,3,3,2,3,2,4,4.0,3,4,4,3,2,3,4,2,2,3,2,4,2,3,2,4,4,4,2,2,2,4,4,3,3,2,1,1,2,2,2,1,9,1,4,8
5,5,5,5,5,4,4,4,4,4,4,4,4,9,9,9,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,5,5,1,1,2,2,1,1,9,2,1,10
4,3,4,4,2,2,3,3,3,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,2,3,4,9,4,4,4,2,9,4.0,3,4,5,4,4,4,4,4,4,5,4,2,4,4,4,3,3,3,3,4,4,4,4,5,4,5,2,1,2,2,1,9,1,2,1,9
5,5,5,5,5,3,5,3,3,5,5,3,3,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,9,9,5,5,5,9,4.0,5,5,5,5,5,5,5,5,5,5,5,9,5,2,4,4,9,5,5,5,5,5,5,5,9,5,1,1,2,2,1,1,1,2,2,8
4,5,4,5,5,5,5,4,2,4,4,4,1,9,2,2,5,2,3,4,5,5,5,5,5,5,5,5,5,9,4,5,9,5,5,5,5,5,5,5,5,5,4.0,5,5,5,9,9,5,4,2,4,2,5,5,5,5,5,5,5,5,5,2,4,5,2,5,2,4,1,1,1,9,1,2,1,2,2,5
3,2,1,1,5,1,1,2,1,1,4,3,3,9,1,9,1,2,3,2,2,2,3,1,1,2,2,2,1,1,2,1,5,3,1,4,9,1,1,1,1,9,1.0,1,1,1,5,2,3,5,1,9,1,2,1,1,3,3,3,1,3,1,2,1,5,1,5,1,3,1,2,4,5,2,2,9,1,4,99
5,5,5,4,3,3,4,9,4,4,4,9,9,9,9,9,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,9,4,4,5,5,9,5.0,5,5,5,9,9,4,9,4,9,4,5,3,4,2,5,5,3,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,2,1,5
3,4,4,5,4,3,4,3,3,4,4,3,2,3,3,3,3,4,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4.0,3,4,2,4,1,4,2,1,4,1,4,4,3,3,4,4,3,4,2,2,2,4,4,4,4,3,2,1,2,2,1,9,1,2,1,9
3,2,2,5,4,3,3,9,9,4,1,4,5,9,9,9,4,1,4,3,4,5,5,5,1,5,4,4,4,4,3,3,4,2,2,3,9,1,3,4,1,9,4.0,4,2,3,4,4,4,2,1,4,1,3,4,2,3,2,1,3,3,1,1,1,4,2,4,1,4,2,1,2,3,1,2,9,1,1,9
5,5,2,3,4,3,4,9,9,9,9,9,2,9,9,9,4,3,4,3,5,5,5,4,4,5,4,5,4,5,4,5,5,5,4,4,9,2,3,1,1,4,4.0,4,1,4,4,3,3,4,5,5,5,4,4,3,3,3,4,3,4,2,3,2,4,3,5,2,3,2,1,2,3,1,2,1,1,1,9
5,3,3,4,4,3,4,3,3,4,4,3,3,3,3,3,5,4,4,4,5,5,5,5,9,4,5,5,4,5,4,4,4,5,3,3,9,3,5,5,5,9,3.2,5,5,4,9,9,9,1,2,9,2,5,3,2,1,1,5,1,4,4,4,4,4,3,3,3,3,2,9,9,4,9,9,9,2,2,7
4,4,3,4,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4.0,3,4,4,4,2,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,2,1,2,2,1,9,1,2,1,9
3,4,5,2,4,9,2,3,3,2,1,2,1,1,1,1,2,2,3,2,4,4,3,4,3,5,4,5,3,2,5,5,4,5,1,3,9,1,1,1,1,9,3.0,1,4,3,3,2,3,3,4,4,5,3,1,3,2,4,2,1,2,2,1,2,9,2,4,1,4,2,1,2,3,1,2,1,1,1,9
1,1,1,3,4,4,3,4,4,3,4,4,4,9,3,9,2,3,4,3,1,3,3,1,1,1,2,2,1,1,1,1,1,3,1,5,9,1,1,1,1,9,2.4000000000000004,1,9,1,4,4,3,1,3,3,3,1,1,1,3,1,1,1,1,1,1,1,3,2,2,2,2,1,1,3,5,9,2,1,1,2,6
5,5,5,5,5,5,5,3,4,4,1,4,5,9,9,9,9,2,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,1,1,1,2,1,1,1,2,1,5
5,5,5,5,5,5,5,3,4,4,3,3,4,9,9,3,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,3,3,3,3,3,5.0,5,4,4,9,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,1,1,2,2,1,1,1,1,1,9
5,3,3,3,5,5,5,3,3,4,4,4,4,3,3,9,3,5,3,4,5,5,5,5,4,5,3,4,5,5,9,9,5,5,4,9,9,4,9,4,3,9,3.2,5,5,3,5,5,5,5,3,5,5,5,4,3,3,4,4,3,3,4,4,4,5,4,3,3,3,1,1,9,4,1,2,1,2,2,10
5,5,5,9,5,5,5,9,9,5,5,5,5,9,9,9,5,5,9,5,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,3,5,2,5,5,2,4.0,5,5,4,4,1,4,2,4,5,4,5,9,5,4,4,4,9,4,3,3,3,5,5,4,4,4,1,1,2,3,1,1,1,2,2,8
4,4,4,1,4,3,2,3,3,1,4,4,4,2,2,2,3,4,9,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,9,3,4,3,3,9,4.0,3,2,4,4,3,3,2,3,3,3,4,2,3,3,4,3,2,4,4,2,3,4,3,2,2,3,1,1,2,1,1,9,1,2,4,8
4,2,4,1,4,4,2,9,5,4,5,4,4,9,9,9,4,5,9,4,5,5,5,5,4,5,5,2,4,4,5,5,5,5,4,4,9,1,4,1,1,4,4.0,4,4,2,5,2,4,2,2,1,2,4,4,1,1,2,4,2,4,1,1,1,5,2,3,1,2,1,1,3,4,2,2,2,1,1,8
4,4,4,3,4,3,4,3,3,4,4,3,4,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,4,4,4,3,9,5.0,5,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,4,5,4,4,4,5,5,5,4,5,1,1,2,2,1,1,1,1,1,8
3,3,3,3,4,3,4,3,5,5,5,4,4,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,4,3,2,4,5,5,5,4,4,3,3,4,4.0,3,4,5,4,4,4,3,5,4,5,4,5,5,5,5,5,4,5,3,3,3,4,4,3,3,3,1,1,1,3,1,1,1,2,1,8
2,2,1,9,4,3,3,2,1,3,1,9,4,3,3,9,1,2,9,3,5,3,1,5,2,5,5,5,4,3,3,3,4,5,2,2,9,1,1,4,1,9,4.0,5,2,3,5,5,5,5,1,5,2,5,3,1,1,2,2,3,4,2,2,3,4,1,5,2,4,1,2,3,3,1,2,1,2,2,4
4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,3,4,3,3,3,4.0,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,3,4,4,4,3,4,2,9,2,2,1,2,1,2,1,10
5,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,2,9,4,4,5,4,9,3.2,5,5,5,9,9,9,9,9,9,2,5,2,2,9,9,4,9,4,5,4,4,4,4,5,4,4,2,1,2,3,1,9,1,1,2,7
5,4,4,5,5,4,4,5,5,4,5,5,9,9,9,9,5,4,5,5,5,5,5,5,5,5,4,5,4,4,4,4,2,5,4,4,5,4,4,5,9,5,3.2,5,4,4,9,9,4,5,5,5,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,1,1,1,2,1,1,1,2,2,7
3,3,3,2,3,2,3,3,3,3,3,3,2,2,3,3,3,4,3,3,3,4,4,3,2,3,3,4,4,3,4,3,4,2,3,4,9,3,3,2,3,9,2.4000000000000004,3,4,3,3,2,3,4,3,3,4,4,3,3,3,3,2,2,2,3,3,3,4,3,3,3,4,2,1,2,4,1,2,1,2,2,9
4,1,1,3,4,3,2,3,3,2,3,3,3,3,3,2,4,5,4,3,5,5,4,5,4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,3,4,4,4.0,4,5,4,2,3,3,5,4,2,4,4,4,2,2,3,3,3,3,3,3,3,4,2,4,4,4,1,1,3,4,1,1,1,1,1,99
4,4,4,9,4,4,4,3,3,4,5,3,4,9,9,9,2,4,9,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,4,2,4,3.2,4,4,4,2,2,4,4,4,4,4,4,2,9,4,3,4,2,4,4,4,4,2,3,4,3,3,1,1,1,4,1,1,1,1,2,10
5,4,4,4,5,2,3,3,4,2,5,9,3,9,9,9,4,5,4,4,5,4,5,5,5,4,3,5,3,3,2,3,2,5,5,5,5,2,5,3,1,5,4.0,3,2,5,3,2,5,1,2,5,2,4,5,4,5,3,5,4,4,3,3,2,5,2,4,4,4,1,9,2,3,1,2,1,2,2,8
3,3,3,2,4,1,1,3,3,4,2,2,4,1,2,1,2,5,9,3,5,4,4,5,4,5,5,4,4,5,3,3,3,4,3,2,9,1,2,3,1,9,5.0,4,5,4,4,3,5,4,2,4,3,4,2,4,2,4,5,3,3,2,2,2,3,3,5,2,2,9,1,2,4,1,2,1,2,1,99
